station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2019-05-28 00:00:00,5,250.4,10776.0,-45.3,-51.8,275.0,40,88.0,20.0
KILN,2019-05-28 00:00:00,4,250.0,10787.0,-45.3,-51.9,274.0,40,88.0,20.0
KILN,2019-05-28 00:00:00,6,248.3,10831.0,M,M,272.0,39,89.0,20.0
KILN,2019-05-28 00:00:00,6,239.2,11077.0,M,M,267.0,41,89.0,21.0
KILN,2019-05-28 00:00:00,5,238.8,11089.0,-47.7,-54.3,267.0,41,89.0,21.0
KILN,2019-05-28 00:00:00,5,233.4,11241.0,-49.0,-56.1,263.0,43,88.0,21.0
KILN,2019-05-28 00:00:00,6,230.3,11329.0,M,M,261.0,43,88.0,21.0
KILN,2019-05-28 00:00:00,5,224.0,11510.0,-51.4,-63.7,256.0,43,88.0,22.0
KILN,2019-05-28 00:00:00,6,220.7,11605.0,M,M,252.0,42,88.0,22.0
KILN,2019-05-28 00:00:00,6,211.9,11866.0,M,M,254.0,42,88.0,23.0
KILN,2019-05-28 00:00:00,6,202.8,12145.0,M,M,254.0,42,87.0,23.0
KILN,2019-05-28 00:00:00,4,200.0,12235.0,-57.7,-67.5,254.0,43,87.0,24.0
KILN,2019-05-28 00:00:00,5,197.1,12326.0,-58.6,-68.1,254.0,44,87.0,24.0
KILN,2019-05-28 00:00:00,6,194.4,12411.0,M,M,255.0,44,87.0,24.0
KILN,2019-05-28 00:00:00,6,184.5,12738.0,M,M,269.0,34,87.0,25.0
KILN,2019-05-28 00:00:00,5,181.8,12830.0,-62.2,-71.9,269.0,32,87.0,25.0
KILN,2019-05-28 00:00:00,6,175.6,13041.0,M,M,267.0,37,87.0,25.0
KILN,2019-05-28 00:00:00,5,173.1,13130.0,-62.4,-72.7,267.0,42,87.0,25.0
KILN,2019-05-28 00:00:00,6,167.2,13342.0,M,M,272.0,47,87.0,26.0
KILN,2019-05-28 00:00:00,6,160.2,13607.0,M,M,268.0,44,87.0,27.0
KILN,2019-05-28 00:00:00,5,158.6,13667.0,-64.9,-76.7,268.0,45,87.0,27.0
KILN,2019-05-28 00:00:00,5,156.5,13750.0,-63.9,-76.1,271.0,47,87.0,27.0
KILN,2019-05-28 00:00:00,6,152.8,13895.0,M,M,274.0,48,87.0,27.0
KILN,2019-05-28 00:00:00,4,150.0,14010.0,-65.4,-76.4,275.0,49,87.0,28.0
KILN,2019-05-28 00:00:00,5,149.2,14040.0,-65.6,-76.3,275.0,49,87.0,28.0
KILN,2019-05-28 00:00:00,6,146.1,14166.0,M,M,279.0,44,87.0,28.0
